X,Y,OBJECTID,cdsCode,schoolID,district,name,addr,city,zip,openDate,charter,docType,socType,gsOffered,shrtName,priv
-117.199247509588,32.9544496385355,367,37680560110114,377,Del Mar Union Elementary,Sycamore Ridge,5333 Old Carmel Valley Road,San Diego,92130,2005/08/29 00:00:00+00,N,Elementary School District,Elementary Schools (Public),K-6,Sycamore Ridge,N
-117.072945880561,33.1343812709035,368,37680986038210,378,Escondido Union,Mission Middle,939 East Mission Avenue,Escondido,92026,1980/07/01 00:00:00+00,N,Elementary School District,Intermediate/Middle Schools (Public),6-8,Mission Mid,N
-117.034966219799,33.1340219908874,369,37680986093215,379,Escondido Union,Hidden Valley Middle,2700 Reed Road,Escondido,92027,1980/07/01 00:00:00+00,N,Elementary School District,Intermediate/Middle Schools (Public),6-8,Hidden Valley Middle,N
-117.206195567769,33.1302647587983,370,37737913737632,380,San Marcos Unified,San Marcos High,1615 San Marcos Boulevard,San Marcos,92078,1980/07/01 00:00:00+00,N,Unified School District,High Schools (Public),9-12,San Marcos,N
-117.050197775447,33.1307625233722,371,37680986038244,381,Escondido Union,Oak Hill Elementary,1820 Oak Hill Drive,Escondido,92027,1980/07/01 00:00:00+00,N,Elementary School District,Elementary Schools (Public),K-5,Oak Hill,N
-117.190595151892,33.1286262266467,372,37737916114169,382,San Marcos Unified,Discovery Elementary,730 Applewilde Drive,San Marcos,92078,1997/07/07 00:00:00+00,N,Unified School District,Elementary Schools (Public),K-5,Discovery Elem,N
-117.039192257112,33.1293927506693,373,37681063735313,383,Escondido Union High,Orange Glen High,2200 Glen Ridge Road,Escondido,92027,1980/07/01 00:00:00+00,N,High School District,High Schools (Public),9-12,Orange Glen,N
-117.238679220554,33.1207238958097,374,37737916116206,384,San Marcos Unified,Carrillo Elementary,2875 Poinsettia Lane,Carlsbad,92009,1999/07/01 00:00:00+00,N,Unified School District,Elementary Schools (Public),K-5,Carrillo,N
-117.057277845265,33.0846270074322,375,37680980102590,385,Escondido Union,Bear Valley Middle,3003 Bear Valley Parkway,Escondido,92025,2004/08/23 00:00:00+00,N,Elementary School District,Intermediate/Middle Schools (Public),6-8,Bear Valley,N
-117.031810268673,33.1506297669685,376,37681063732054,386,Escondido Union High,Valley High (Continuation),410 North Hidden Trails Road,Escondido,92027,1980/07/01 00:00:00+00,N,High School District,Continuation High Schools,9-12,Valley,N
